"device","subject","run_id","energy_consumed","load_time"
"nexus5x","http1042018080wwwokezonecomwwwokezonecom2indexhtml",3,79.696728,312
"nexus5x","http1042018080wwwokezonecomwwwokezonecom2indexhtml",4,79.07652,252
"nexus5x","http1042018080wwwokezonecomwwwokezonecom2indexhtml",5,82.022508,702
"nexus5x","http1042018080wwwamazoncomwwwamazoncom0indexhtml",1,64.906452,294
"nexus5x","http1042018080wwwamazoncomwwwamazoncom0indexhtml",2,77.454,389
"nexus5x","http1042018080wwwamazoncomwwwamazoncom0indexhtml",3,81.481608,935
"nexus5x","http1042018080wwwamazoncomwwwamazoncom0indexhtml",4,78.538356,418
"nexus5x","http1042018080wwwamazoncomwwwamazoncom0indexhtml",5,79.157988,320
"nexus5x","http1042018080awsamazoncomawsamazoncom1indexhtml",1,65.100672,381
"nexus5x","http1042018080awsamazoncomawsamazoncom1indexhtml",2,69.012972,358
"nexus5x","http1042018080awsamazoncomawsamazoncom1indexhtml",3,82.784268,324
"nexus5x","http1042018080awsamazoncomawsamazoncom1indexhtml",4,79.497936,400
"nexus5x","http1042018080awsamazoncomawsamazoncom1indexhtml",5,79.184952,480
"nexus5x","http1042018080wwwforbescomwwwforbescom1indexhtml",1,66.032064,309
"nexus5x","http1042018080wwwforbescomwwwforbescom1indexhtml",2,80.515512,280
"nexus5x","http1042018080wwwforbescomwwwforbescom1indexhtml",3,95.466168,288
"nexus5x","http1042018080wwwforbescomwwwforbescom1indexhtml",4,93.285864,350
"nexus5x","http1042018080wwwforbescomwwwforbescom1indexhtml",5,96.55632,298
"nexus5x","http1042018080apacheorgapacheorg2indexhtml",1,62.208,340
"nexus5x","http1042018080apacheorgapacheorg2indexhtml",2,75.89376,243
"nexus5x","http1042018080apacheorgapacheorg2indexhtml",3,77.60448,293
"nexus5x","http1042018080apacheorgapacheorg2indexhtml",4,75.58272,276
"nexus5x","http1042018080apacheorgapacheorg2indexhtml",5,78.22656,379
"nexus5x","http1042018080nlgodaddycomnlgodaddycom0indexhtml",1,66.33018,450
"nexus5x","http1042018080nlgodaddycomnlgodaddycom0indexhtml",2,81.39816,518
"nexus5x","http1042018080nlgodaddycomnlgodaddycom0indexhtml",3,80.7768,351
"nexus5x","http1042018080nlgodaddycomnlgodaddycom0indexhtml",4,77.82534,512
"nexus5x","http1042018080nlgodaddycomnlgodaddycom0indexhtml",5,76.73796,402
"nexus5x","http1042018080apacheorgapacheorg1indexhtml",1,60.54048,287
"nexus5x","http1042018080apacheorgapacheorg1indexhtml",2,75.132288,239
"nexus5x","http1042018080apacheorgapacheorg1indexhtml",3,76.374144,256
"nexus5x","http1042018080apacheorgapacheorg1indexhtml",4,74.51136,289
"nexus5x","http1042018080apacheorgapacheorg1indexhtml",5,77.460768,225
"nexus5x","http1042018080dsalipaycomdsalipaycom1indexhtml",1,67.912776,218
"nexus5x","http1042018080dsalipaycomdsalipaycom1indexhtml",2,82.17756,208
"nexus5x","http1042018080dsalipaycomdsalipaycom1indexhtml",3,68.99814,229
"nexus5x","http1042018080dsalipaycomdsalipaycom1indexhtml",4,82.17756,217
"nexus5x","http1042018080dsalipaycomdsalipaycom1indexhtml",5,84.50334,238
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom0indexhtml",1,61.68204,458
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom0indexhtml",2,74.54538,357
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom0indexhtml",3,77.02506,410
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom0indexhtml",4,74.54538,465
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom0indexhtml",5,76.56012,498
"nexus5x","http1042018080wwwofficecomwwwofficecom3indexhtml",1,60.875388,404
"nexus5x","http1042018080wwwofficecomwwwofficecom3indexhtml",2,71.360352,316
"nexus5x","http1042018080wwwofficecomwwwofficecom3indexhtml",3,76.524588,242
"nexus5x","http1042018080wwwofficecomwwwofficecom3indexhtml",4,75.429144,324
"nexus5x","http1042018080wwwofficecomwwwofficecom3indexhtml",5,76.994064,264
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg1indexhtml",1,62.4357,304
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg1indexhtml",2,78.6285,338
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg1indexhtml",3,82.3653,223
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg1indexhtml",4,78.1614,389
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg1indexhtml",5,77.6943,238
"nexus5x","http1042018080wwwbookingcomwwwbookingcom1indexhtml",1,62.36352,339
"nexus5x","http1042018080wwwbookingcomwwwbookingcom1indexhtml",2,75.27168,522
"nexus5x","http1042018080wwwbookingcomwwwbookingcom1indexhtml",3,76.9824,396
"nexus5x","http1042018080wwwbookingcomwwwbookingcom1indexhtml",4,76.51584,333
"nexus5x","http1042018080wwwbookingcomwwwbookingcom1indexhtml",5,78.84864,277
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom2internationalhtml",1,64.636416,773
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom2internationalhtml",2,78.620256,778
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom2internationalhtml",3,75.668112,694
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom2internationalhtml",4,52.361712,529
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom2internationalhtml",5,81.261648,515
"nexus5x","http1042018080wwwamazoninwwwamazonin0indexhtml",1,64.095948,380
"nexus5x","http1042018080wwwamazoninwwwamazonin0indexhtml",2,77.908392,264
"nexus5x","http1042018080wwwamazoninwwwamazonin0indexhtml",3,79.615548,454
"nexus5x","http1042018080wwwamazoninwwwamazonin0indexhtml",4,76.04604,244
"nexus5x","http1042018080wwwamazoninwwwamazonin0indexhtml",5,78.994764,234
"nexus5x","http1042018080wwwokezonecomwwwokezonecom3indexhtml",1,65.586996,486
"nexus5x","http1042018080wwwokezonecomwwwokezonecom3indexhtml",2,76.130532,292
"nexus5x","http1042018080wwwokezonecomwwwokezonecom3indexhtml",3,69.928452,277
"nexus5x","http1042018080wwwokezonecomwwwokezonecom3indexhtml",4,76.595688,284
"nexus5x","http1042018080wwwokezonecomwwwokezonecom3indexhtml",5,76.130532,264
"nexus5x","http1042018080awsamazoncomawsamazoncom3indexhtml",1,61.16022,276
"nexus5x","http1042018080awsamazoncomawsamazoncom3indexhtml",2,74.940624,330
"nexus5x","http1042018080awsamazoncomawsamazoncom3indexhtml",3,75.559968,443
"nexus5x","http1042018080awsamazoncomawsamazoncom3indexhtml",4,73.701936,286
"nexus5x","http1042018080awsamazoncomawsamazoncom3indexhtml",5,76.179312,357
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom2indexhtml",1,62.454672,466
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom2indexhtml",2,77.168304,498
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom2indexhtml",3,79.359696,505
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom2indexhtml",4,74.037744,402
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom2indexhtml",5,74.976912,466
"nexus5x","http1042018080wwwforbescomwwwforbescom2indexhtml",1,65.223216,447
"nexus5x","http1042018080wwwforbescomwwwforbescom2indexhtml",2,91.84176,296
"nexus5x","http1042018080wwwforbescomwwwforbescom2indexhtml",3,93.3984,292
"nexus5x","http1042018080wwwforbescomwwwforbescom2indexhtml",4,91.06344,315
"nexus5x","http1042018080wwwforbescomwwwforbescom2indexhtml",5,91.686096,266
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg2indexhtml",1,64.340568,217
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg2indexhtml",2,74.908584,736
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg2indexhtml",3,78.48306,246
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg2indexhtml",4,76.307292,459
"nexus5x","http1042018080wwwwikipediaorgwwwwikipediaorg2indexhtml",5,80.192592,265
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa3indexhtml",1,60.102648,251
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa3indexhtml",2,74.235312,198
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa3indexhtml",3,75.477744,225
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa3indexhtml",4,66.0042,373
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa3indexhtml",5,77.030784,397
"nexus5x","http1042018080awsamazoncomawsamazoncom0indexhtml",1,63.77076,315
"nexus5x","http1042018080awsamazoncomawsamazoncom0indexhtml",2,77.89032,449
"nexus5x","http1042018080awsamazoncomawsamazoncom0indexhtml",3,75.09744,371
"nexus5x","http1042018080awsamazoncomawsamazoncom0indexhtml",4,75.40776,309
"nexus5x","http1042018080awsamazoncomawsamazoncom0indexhtml",5,76.8042,365
