"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"714","linkedincom",58,61.47306,"3","3","9"
"715","linkedincom",90,76.25772,"3","3","9"
"361","baiducom",137,61.31664,"0","4","11"
"362","baiducom",103,78.39216,"0","4","11"
"363","baiducom",161,75.597984,"0","4","11"
"364","baiducom",152,74.821824,"0","4","11"
"365","baiducom",175,79.16832,"0","4","11"
"796","baiducom",195,59.69502,"0","4","11"
"797","baiducom",300,72.87444,"0","4","11"
"798","baiducom",173,75.045168,"0","4","11"
"799","baiducom",133,73.184544,"0","4","11"
"800","baiducom",154,63.106164,"0","4","11"
"321","baiducom",181,61.34508,"1","4","11"
"322","baiducom",127,76.254264,"1","4","11"
"323","baiducom",182,72.526968,"1","4","11"
"324","baiducom",131,75.788352,"1","4","11"
"325","baiducom",101,79.670952,"1","4","11"
"761","baiducom",161,62.21916,"1","4","11"
"762","baiducom",155,75.71808,"1","4","11"
"763","baiducom",285,77.58,"1","4","11"
"764","baiducom",210,74.94228,"1","4","11"
"765","baiducom",178,77.11452,"1","4","11"
"366","baiducom",137,61.880112,"2","4","11"
"367","baiducom",103,75.527856,"2","4","11"
"368","baiducom",309,76.458384,"2","4","11"
"369","baiducom",146,75.372768,"2","4","11"
"370","baiducom",110,77.544,"2","4","11"
"681","baiducom",98,61.11936,"3","4","11"
"682","baiducom",140,76.2048,"3","4","11"
"683","baiducom",321,63.14112,"3","4","11"
"684","baiducom",164,76.36032,"3","4","11"
"685","baiducom",157,77.91552,"3","4","11"
"16","wikipediaorg",43,70.092288,"0","5","12"
"17","wikipediaorg",123,80.261928,"0","5","12"
"18","wikipediaorg",66,80.105472,"0","5","12"
"19","wikipediaorg",222,78.853824,"0","5","12"
"20","wikipediaorg",194,81.513576,"0","5","12"
"456","wikipediaorg",24,63.578232,"0","5","12"
"457","wikipediaorg",93,78.656688,"0","5","12"
"458","wikipediaorg",68,80.988408,"0","5","12"
"459","wikipediaorg",76,80.211168,"0","5","12"
"460","wikipediaorg",79,81.143856,"0","5","12"
"121","wikipediaorg",106,62.4357,"1","5","12"
"122","wikipediaorg",139,78.6285,"1","5","12"
"123","wikipediaorg",26,82.3653,"1","5","12"
"124","wikipediaorg",182,78.1614,"1","5","12"
"125","wikipediaorg",41,77.6943,"1","5","12"
"556","wikipediaorg",67,64.370376,"1","5","12"
"557","wikipediaorg",52,78.363936,"1","5","12"
"558","wikipediaorg",180,81.007164,"1","5","12"
"559","wikipediaorg",61,79.607808,"1","5","12"
"560","wikipediaorg",171,83.18394,"1","5","12"
"161","wikipediaorg",20,64.340568,"2","5","12"
"162","wikipediaorg",331,74.908584,"2","5","12"
"163","wikipediaorg",49,78.48306,"2","5","12"
"164","wikipediaorg",236,76.307292,"2","5","12"
"165","wikipediaorg",68,80.192592,"2","5","12"
"596","wikipediaorg",86,64.606464,"2","5","12"
"597","wikipediaorg",69,78.273216,"2","5","12"
"598","wikipediaorg",39,79.360344,"2","5","12"
"599","wikipediaorg",61,78.894432,"2","5","12"
"600","wikipediaorg",141,67.246632,"2","5","12"
"696","wikipediaorg",97,62.81064,"3","5","12"
"697","wikipediaorg",149,76.303296,"3","5","12"
"698","wikipediaorg",122,80.335584,"3","5","12"
"699","wikipediaorg",51,78.939792,"3","5","12"
"700","wikipediaorg",34,78.784704,"3","5","12"
"381","applecom",44,62.4357,"0","6","14"
"382","applecom",45,76.6044,"0","6","14"
"383","applecom",31,78.0057,"0","6","14"
"384","applecom",133,77.2272,"0","6","14"
"385","applecom",31,80.4969,"0","6","14"
"801","applecom",34,60.092928,"0","6","14"
"802","applecom",35,64.94418,"0","6","14"
"803","applecom",55,77.46354,"0","6","14"
"804","applecom",102,77.46354,"0","6","14"
"805","applecom",99,78.871968,"0","6","14"
"196","applecom",72,65.30328,"1","6","14"
"197","applecom",40,78.208452,"1","6","14"
"198","applecom",40,86.29362,"1","6","14"
"199","applecom",46,83.494908,"1","6","14"
"200","applecom",31,84.116844,"1","6","14"
"621","applecom",43,72.16128,"1","6","14"
"622","applecom",77,76.51584,"1","6","14"
"623","applecom",57,88.6464,"1","6","14"
"624","applecom",41,83.66976,"1","6","14"
"625","applecom",31,86.93568,"1","6","14"
"41","applecom",40,72.618084,"2","6","14"
"42","applecom",150,85.93398,"2","6","14"
"43","applecom",59,87.017832,"2","6","14"
"44","applecom",104,85.1598,"2","6","14"
"45","applecom",175,82.682424,"2","6","14"
"476","applecom",42,71.20386,"2","6","14"
"477","applecom",49,85.28814,"2","6","14"
"478","applecom",3,87.948504,"2","6","14"
"479","applecom",29,84.50568,"2","6","14"
"480","applecom",71,83.879712,"2","6","14"
"231","applecom",201,62.233596,"3","6","14"
"232","applecom",113,74.649276,"3","6","14"
"233","applecom",58,80.236332,"3","6","14"
"234","applecom",32,74.49408,"3","6","14"
"235","applecom",182,76.977216,"3","6","14"
"651","applecom",30,62.490096,"3","6","14"
"652","applecom",61,74.304144,"3","6","14"
"653","applecom",234,77.257656,"3","6","14"
"654","applecom",32,75.081384,"3","6","14"
"655","applecom",86,78.656688,"3","6","14"
"371","outlooklivecom",116,61.2171,"0","7","17"
